iter	RMSE
0	308.9257273
1	306.3053554
2	303.7726023
3	301.313892
4	298.9630062
5	296.6788965
6	294.4121142
7	292.2206167
8	290.1040748
9	288.0587184
10	286.1008086
11	284.222134
12	282.3909534
13	280.6083827
14	278.8533232
15	277.1587997
16	275.534946
17	273.9608949
18	272.4176673
19	270.9246016
20	269.4878264
21	268.0901019
22	266.7405591
23	265.4239685
24	264.1638303
25	262.9471813
26	261.7864948
27	260.6077222
28	259.5285811
29	258.4624862
30	257.4170565
31	256.4021397
32	255.4516448
33	254.4961826
34	253.5823399
35	252.7169895
36	251.8963458
37	251.0654204
38	250.2580103
39	249.4917417
40	248.7463378
41	248.0439614
42	247.3617929
43	246.6659602
44	246.0418962
45	245.415841
46	244.8528799
47	244.2780531
48	243.6861602
49	243.1598558
50	242.6390612
51	242.1021772
52	241.6263234
53	241.1512592
54	240.6688831
55	240.2318554
56	239.7541011
57	239.3548426
58	238.8981474
59	238.518747
60	238.0975713
61	237.731899
62	237.3646715
63	237.0111578
64	236.6832464
65	236.3292707
66	235.9903163
67	235.6840342
68	235.3771901
69	235.1048979
70	234.8075881
71	234.5463516
72	234.3105046
73	234.0802834
74	233.7946032
75	233.5166912
76	233.2684446
77	233.0357148
78	232.8144214
79	232.6174425
80	232.4115304
81	232.2311896
82	232.0556563
83	231.8829313
84	231.6961981
85	231.5265281
86	231.3737673
87	231.2136944
88	231.0664275
89	230.8985998
90	230.7173141
91	230.5384496
92	230.365466
93	230.2172089
94	230.0718441
95	229.9255772
96	229.7724665
97	229.669702
98	229.5143931
99	229.3769657
100	229.2524676
101	229.1105365
102	228.9811002
103	228.8553193
104	228.735973
105	228.6520646
106	228.5423357
107	228.4388499
108	228.3483221
109	228.2454173
110	228.1350248
111	228.0155194
112	227.909949
113	227.8307723
114	227.7459287
115	227.6711956
116	227.5958755
117	227.4764309
118	227.4090968
119	227.3305874
120	227.2281604
121	227.138359
122	227.0804077
123	226.9897858
124	226.9107591
125	226.8065958
126	226.7147559
127	226.6614567
128	226.6032676
129	226.5063187
130	226.439785
131	226.3711282
132	226.2856032
133	226.2200873
134	226.1287384
135	226.070941
136	225.9903307
137	225.9139206
138	225.8666363
139	225.7757703
140	225.7308393
141	225.6674949
142	225.5999263
143	225.5586212
144	225.5118318
145	225.4525742
146	225.3837238
147	225.3152398
148	225.2472603
149	225.197811
150	225.1610036
151	225.0942111
152	225.0293588
153	224.9877501
154	224.9294523
155	224.8647227
156	224.8226534
157	224.7747714
158	224.7176305
159	224.6356283
160	224.5919623
161	224.5273913
162	224.4762371
163	224.4517974
164	224.3921779
165	224.3525343
166	224.300281
167	224.2521196
168	224.2094507
169	224.1597075
170	224.1230373
171	224.0729685
172	224.0350362
173	224.0026995
174	223.9706454
175	223.9261192
176	223.8777501
177	223.81228
178	223.7557393
179	223.734055
180	223.6840395
181	223.6418701
182	223.5887515
183	223.5191958
184	223.4546901
185	223.4210897
186	223.3865683
187	223.3398992
188	223.3034748
189	223.2391863
190	223.2077514
191	223.1510189
192	223.1071261
193	223.0774538
194	223.0426163
195	222.9855619
196	222.9571358
197	222.9275419
198	222.8963109
199	222.8320187
200	222.789767
201	222.7677234
202	222.7134729
203	222.6660262
204	222.6358774
205	222.6097808
206	222.567201
207	222.5197149
208	222.4894837
209	222.451355
210	222.4178082
211	222.3740236
212	222.3509684
213	222.317446
214	222.2907682
215	222.2249141
216	222.207719
217	222.1813394
218	222.1626869
219	222.1282425
220	222.1097027
221	222.0691074
222	222.0392236
223	222.0289681
224	221.9772409
225	221.94602
226	221.923264
227	221.8966781
228	221.8619017
229	221.8431192
230	221.8052955
231	221.7584249
232	221.738324
233	221.7038005
234	221.6726329
235	221.6335936
236	221.6001769
237	221.5678246
238	221.5330195
239	221.5024878
240	221.4879254
241	221.4532441
242	221.4285223
243	221.398499
244	221.3704748
245	221.3435441
246	221.3180093
247	221.2695107
248	221.2374978
249	221.2201053
250	221.1984701
251	221.1558126
252	221.1289115
253	221.0857072
254	221.0569912
255	221.0236095
256	221.0079511
257	220.9919283
258	220.9690601
259	220.9531589
260	220.9237884
261	220.902629
262	220.8732752
263	220.8443739
264	220.8069788
265	220.7755669
266	220.7666292
267	220.732593
268	220.6841904
269	220.639694
270	220.6317462
271	220.6072823
272	220.5895783
273	220.5590873
274	220.5216238
275	220.4904337
276	220.4588593
277	220.4439425
278	220.4283683
279	220.401781
280	220.3748346
281	220.3433422
282	220.3272972
283	220.3042089
284	220.2836218
285	220.26019
286	220.2506479
287	220.2282687
288	220.1942393
289	220.1741834
290	220.1321377
291	220.1137917
292	220.0974537
293	220.0692565
294	220.0429486
295	220.0064326
296	219.9916461
297	219.9742068
298	219.9424033
299	219.9078307
300	219.8891701
301	219.8327111
302	219.8200882
303	219.7869633
304	219.7487762
305	219.7265977
306	219.7123865
307	219.6979996
308	219.6769091
309	219.660468
310	219.6346153
311	219.6123275
312	219.5747494
313	219.519847
314	219.491275
315	219.4463065
316	219.404486
317	219.3848895
318	219.3701869
319	219.3530631
320	219.3406717
321	219.3143975
322	219.295222
323	219.2672241
324	219.2224068
325	219.1867872
326	219.1779791
327	219.1545287
328	219.1227067
329	219.112613
330	219.0915119
331	219.0645495
332	219.0277927
333	218.9858706
334	218.963554
335	218.9427365
336	218.9195209
337	218.8995505
338	218.8561074
339	218.8289634
340	218.8042424
341	218.7703573
342	218.758797
343	218.7345139
344	218.7154124
345	218.6786913
346	218.6637165
347	218.6506848
348	218.6072412
349	218.5833206
350	218.5761351
351	218.533211
352	218.5026637
353	218.4738689
354	218.4486828
355	218.412894
356	218.3838199
357	218.3653699
358	218.3357997
359	218.3166344
360	218.2635034
361	218.2456372
362	218.2260933
363	218.199911
364	218.1915514
365	218.1762859
366	218.1597064
367	218.1206141
368	218.1087972
369	218.0760547
370	218.0542118
371	218.0377547
372	218.0181779
373	218.0064406
374	217.9950792
375	217.9752003
376	217.9407739
377	217.9146013
378	217.8945839
379	217.869868
380	217.8449598
381	217.8220739
382	217.7939787
383	217.7698062
384	217.7373181
385	217.7247813
386	217.6972499
387	217.6786838
388	217.6526231
389	217.6230576
390	217.6067555
391	217.5772247
392	217.5609067
393	217.5470143
394	217.5248105
395	217.5032318
396	217.4814016
397	217.4655068
398	217.4485391
