iter	Passed	Remaining
0	25	51808
1	42	42526
2	62	41736
3	81	40810
4	97	39041
5	113	37840
6	130	37180
7	148	36880
8	164	36440
9	182	36225
10	199	36112
11	217	35962
12	234	35793
13	251	35717
14	269	35612
15	287	35702
16	306	35798
17	324	35683
18	342	35725
19	360	35707
20	378	35626
21	395	35535
22	411	35389
23	427	35219
24	444	35122
25	460	34994
26	476	34836
27	493	34788
28	509	34617
29	526	34586
30	542	34476
31	560	34442
32	578	34463
33	595	34461
34	613	34440
35	630	34370
36	650	34508
37	695	35885
38	725	36468
39	744	36462
40	760	36343
41	780	36362
42	798	36324
43	817	36343
44	834	36247
45	849	36104
46	867	36039
47	884	35964
48	902	35918
49	919	35848
50	936	35791
51	954	35751
52	971	35683
53	987	35594
54	1005	35574
55	1027	35661
56	1046	35656
57	1064	35653
58	1082	35619
59	1098	35520
60	1116	35492
61	1133	35440
62	1150	35386
63	1168	35341
64	1188	35381
65	1206	35364
66	1227	35418
67	1256	35713
68	1281	35864
69	1302	35904
70	1322	35935
71	1342	35953
72	1364	36006
73	1382	35983
74	1401	35964
75	1421	35998
76	1446	36126
77	1469	36204
78	1502	36532
79	1521	36520
80	1540	36505
81	1561	36518
82	1581	36528
83	1601	36522
84	1619	36488
85	1639	36494
86	1656	36432
87	1675	36403
88	1699	36498
89	1725	36621
90	1753	36778
91	1771	36749
92	1790	36718
93	1808	36668
94	1825	36615
95	1844	36591
96	1863	36552
97	1882	36539
98	1901	36504
99	1920	36488
100	1941	36498
101	1958	36442
102	1979	36451
103	1998	36435
104	2019	36444
105	2044	36528
106	2068	36589
107	2089	36607
108	2110	36605
109	2128	36568
110	2148	36569
111	2168	36547
112	2189	36567
113	2208	36529
114	2226	36490
115	2241	36398
116	2256	36318
117	2273	36268
118	2290	36201
119	2307	36148
120	2325	36113
121	2345	36104
122	2363	36065
123	2384	36069
124	2404	36069
125	2424	36055
126	2442	36019
127	2459	35965
128	2476	35925
129	2495	35899
130	2516	35907
131	2535	35880
132	2555	35878
133	2574	35857
134	2594	35842
135	2612	35811
136	2630	35770
137	2651	35777
138	2671	35768
139	2688	35714
140	2707	35695
141	2725	35661
142	2743	35632
143	2762	35600
144	2779	35560
145	2797	35527
146	2819	35535
147	2837	35510
148	2854	35465
149	2871	35412
150	2890	35397
151	2909	35371
152	2928	35349
153	2944	35290
154	2964	35283
155	2980	35228
156	2996	35179
157	3015	35152
158	3032	35115
159	3052	35100
160	3070	35074
161	3086	35015
162	3106	35007
163	3121	34949
164	3139	34911
165	3158	34896
166	3176	34862
167	3193	34829
168	3213	34821
169	3233	34808
170	3255	34821
171	3275	34810
172	3295	34804
173	3312	34766
174	3331	34746
175	3350	34723
176	3368	34694
177	3385	34654
178	3401	34601
179	3419	34575
180	3436	34533
181	3457	34535
182	3472	34479
183	3491	34455
184	3507	34411
185	3527	34400
186	3545	34378
187	3567	34385
188	3584	34348
189	3603	34331
190	3624	34326
191	3641	34287
192	3661	34277
193	3679	34256
194	3697	34222
195	3713	34181
196	3730	34144
197	3747	34109
198	3764	34065
199	3780	34026
200	3795	33969
201	3812	33932
202	3829	33902
203	3846	33860
204	3863	33826
205	3879	33788
206	3897	33757
207	3917	33753
208	3937	33744
209	3954	33708
210	3972	33681
211	3990	33655
212	4011	33653
213	4029	33626
214	4054	33663
215	4111	33958
216	4164	34221
217	4185	34212
218	4207	34217
219	4225	34190
220	4246	34181
221	4263	34145
222	4283	34130
223	4308	34158
224	4325	34121
225	4347	34128
226	4367	34109
227	4386	34094
228	4413	34133
229	4433	34115
230	4458	34143
231	4476	34114
232	4497	34107
233	4514	34074
234	4533	34046
235	4553	34031
236	4571	34006
237	4589	33979
238	4607	33949
239	4623	33909
240	4642	33882
241	4656	33829
242	4672	33786
243	4688	33743
244	4704	33702
245	4721	33662
246	4737	33619
247	4754	33589
248	4770	33545
249	4785	33498
250	4801	33456
251	4818	33426
252	4834	33385
253	4851	33347
254	4868	33316
255	4885	33283
256	4901	33243
257	4920	33221
258	4936	33180
259	4953	33150
260	4970	33120
261	4990	33105
262	5009	33087
263	5026	33051
264	5044	33028
265	5061	32997
266	5079	32968
267	5093	32920
268	5113	32903
269	5128	32860
270	5143	32814
271	5158	32770
272	5174	32732
273	5192	32710
274	5208	32668
275	5223	32626
276	5243	32616
277	5261	32590
278	5281	32579
279	5297	32542
280	5314	32513
281	5332	32484
282	5355	32489
283	5373	32468
284	5390	32434
285	5410	32423
286	5426	32389
287	5445	32368
288	5460	32327
289	5478	32301
290	5495	32274
291	5510	32230
292	5525	32189
293	5540	32147
294	5556	32113
295	5571	32072
296	5589	32049
297	5608	32033
298	5625	32001
299	5643	31978
300	5659	31946
301	5675	31911
302	5694	31893
303	5711	31866
304	5726	31826
305	5742	31791
306	5757	31750
307	5777	31736
308	5796	31720
309	5812	31686
310	5826	31644
311	5841	31606
312	5860	31588
